prediction,uncertainty
correct,0.20802223752775884
correct,0.03660527337384109
correct,0.06750658364414923
correct,0.03587582214469479
correct,0.043756452953307545
correct,0.052444704615150724
correct,0.08403472684364095
correct,0.03710175987939421
correct,0.04068970373530226
correct,0.03825659319553967
correct,0.06658029829617747
correct,0.012443036457464493
correct,0.12270938439020145
correct,0.14756851642604224
correct,0.019429020564457326
correct,0.05352944903289247
correct,0.12105289238921366
correct,0.12276666185284714
correct,0.02336543409959762
correct,0.09796720642099643
correct,0.07634621467417169
correct,0.13856031657716864
correct,0.020619821459637314
correct,0.11503033659710439
correct,0.05607420221658285
correct,0.16646786069810895
correct,0.055293679951901764
correct,0.015591036314447937
correct,0.041114203711874256
correct,0.16815643775924116
correct,0.06400240374120453
correct,0.07118108676848463
correct,0.09057737383095722
correct,0.11995465181449395
correct,0.07432777690305573
correct,0.11092114871532166
correct,0.020590356383915365
correct,0.14271665378428713
correct,0.03123855604023209
correct,0.03732667767063319
correct,0.05871353619942845
correct,0.1417947651569489
correct,0.08647320696379648
correct,0.06993803842371615
correct,0.14918827138015836
correct,0.04643724153471955
correct,0.08762437415191587
correct,0.12884955875388648
correct,0.1900027082362527
correct,0.013536181429482819
correct,0.18328504952420008
correct,0.11583028711554241
correct,0.061851881223491216
correct,0.015467083146115638
correct,0.03007085675671904
correct,0.06711679864213663
correct,0.14304981129701147
correct,0.08137144553646791
correct,0.11351574150683903
correct,0.02848024623339806
correct,0.04224413824257748
correct,0.022658871577474024
correct,0.029652807060975485
correct,0.007127079585438588
correct,0.04413448899975743
correct,0.06746044556008282
correct,0.034921743230646854
correct,0.06172134425886031
correct,0.16674691405287137
correct,0.09631263694042684
correct,0.0371071472483776
correct,0.07178551578517971
correct,0.07520128854782457
correct,0.09703474122584811
correct,0.06919751992933143
correct,0.021402466414580695
correct,0.057173578223993174
correct,0.13785597667050967
correct,0.09985958879544578
correct,0.020916947366243645
correct,0.12653434297150756
correct,0.11328680243832656
correct,0.0763380842549942
correct,0.06344315602112849
correct,0.004422773331686785
correct,0.045434846759422304
correct,0.01708150600868583
correct,0.020888984154063747
correct,0.025025999546374578
correct,0.19258714532513488
correct,0.023318389072437454
correct,0.11666340407061808
correct,0.11440657508935566
correct,0.032760722698650886
correct,0.12055740740986741
correct,0.007605722809921191
correct,0.0044873578464553875
correct,8.97636447877728e-05
correct,0.038062314875870015
correct,0.024341781282392495
correct,0.0002265722955648738
correct,0.0011198163884908836
correct,1.382869378647446e-05
correct,0.003721874188704092
correct,0.0601100601241475
correct,0.008645310210174655
correct,0.05412244947060931
correct,0.003974637975795977
correct,0.018367708663240112
correct,0.025569840788082016
correct,2.2650890416495383e-05
correct,0.11681510478623308
correct,0.040984064655532094
correct,0.003393542605885664
correct,0.059612115695368284
correct,0.0025269632622918732
correct,0.07588468450890909
correct,0.002139276966044905
correct,0.0012545639262620046
correct,0.04175973458195734
correct,0.0031583279544281488
correct,4.0259171132553903e-05
correct,8.152104035687326e-05
correct,0.008584078526461697
correct,0.007625019026391007
correct,0.01173748170449349
correct,0.003000830578393344
correct,2.9934975910004587e-05
correct,0.014172265006748218
correct,0.00015490902834466183
correct,0.04235113370695946
correct,0.02336568713400486
correct,0.0038856889519541383
correct,0.009432191148261881
correct,8.152775981788094e-05
correct,0.001906695389500425
correct,0.00013547477056876267
correct,4.204783716097379e-06
correct,0.010853631378641674
correct,0.019721825384986024
correct,0.010092660307548565
correct,0.0053948752335359505
correct,0.00019077719948717493
correct,0.07542637780254295
correct,0.00010235103943995885
correct,0.031643338293098434
correct,0.012289427068340544
correct,0.02328146432388463
correct,0.00013209505457918583
correct,0.014558587951052514
correct,0.0015558232927143291
correct,0.028017850707400763
correct,0.018428450770348527
correct,0.000510840509180205
correct,0.027956486812227878
correct,0.004825568929909908
correct,0.00029523016437441957
correct,0.010969152385949659
correct,0.0125321727881185
correct,0.07874095068790528
correct,0.007882492709831955
correct,2.267102937358198e-05
correct,0.08345446565183441
correct,0.02549442788156275
correct,0.012687691708663946
correct,0.008431455875501051
correct,0.00018888498675525973
correct,0.00022123413070142384
correct,8.581773010258202e-05
correct,0.0066631004767689125
correct,0.041961882250272434
correct,0.002075492543742478
correct,0.006819125141897138
correct,0.010190653093362492
correct,0.00013611913258622114
correct,0.01639953425260733
correct,0.013749291340798643
correct,0.08601260172675618
correct,0.007217273389824125
correct,0.13506396503424892
correct,0.04705998554852947
correct,0.0007530091851918904
correct,0.0002214173881954091
correct,0.0011240425391438123
correct,0.03386636815918899
correct,0.005008327899114379
correct,0.013562612083962467
correct,0.007832058230429003
correct,8.685587445949297e-06
correct,7.239928370453587e-05
correct,0.11132807152187052
correct,0.007526396555852861
correct,0.02813700165168829
correct,0.06379095170672464
correct,0.050456977471239235
correct,0.061200761738940575
correct,0.05218140848867187
correct,0.04735670622526662
correct,0.07731698605762682
correct,0.18736824316713432
correct,0.048242559627287324
correct,0.17952299199115174
correct,0.12929768619969434
correct,0.07627432074072922
correct,0.1144603079416145
correct,0.07407987250642716
correct,0.0885078791879881
correct,0.05458095526017605
correct,0.20853060419928868
correct,0.05443703393588317
correct,0.08009764831359026
correct,0.20511976684351257
correct,0.14825295667671537
correct,0.052051755596885546
correct,0.04691289069604882
correct,0.21201872683531472
correct,0.09743238373211868
correct,0.060892681927892024
correct,0.033202131903654744
correct,0.09271017011570543
correct,0.12930805409302998
correct,0.11324786703280575
correct,0.08107430783841513
correct,0.058876607452382775
correct,0.19554124096997588
correct,0.041221072478131095
correct,0.1638828350188923
correct,0.054091191423610345
correct,0.12080796082356071
correct,0.06140425485361434
correct,0.1827723256511898
correct,0.13952493111382075
correct,0.13482231861767485
correct,0.22437953024006319
correct,0.07162306006205718
correct,0.017028768944418276
correct,0.061259162376974756
correct,0.13724952917487548
correct,0.06724480679913232
correct,0.05536820936875394
correct,0.09591429346900072
correct,0.20800762167940798
correct,0.03330477372963862
correct,0.062791644230543
correct,0.14221182624063025
correct,0.020123450545601274
correct,0.22045428277405113
correct,0.1542639663451415
correct,0.10241766696511238
correct,0.004180667769958175
correct,0.0002581576565380019
correct,0.004888393383463056
correct,0.0002614213712288674
correct,0.002042531002761863
correct,7.559747525210574e-05
correct,0.0016208440015244403
correct,0.0001088238226357612
correct,6.237241914684666e-05
correct,5.819747258265874e-05
correct,0.0006503446248207574
correct,0.0020407249290227947
correct,0.005408039179635468
correct,2.636062080936312e-05
correct,0.0005923388320682019
correct,4.0446440446674384e-05
correct,3.716623602848301e-05
correct,0.004551577541897492
correct,0.00012072499872037954
correct,2.955892286213263e-05
correct,6.330348471961662e-05
correct,0.003426109275462694
correct,7.461586553723969e-05
correct,6.985591839584303e-05
correct,0.002520057726043411
correct,1.9978959640117327e-05
correct,3.5781245633667684e-05
correct,0.0008694249238912798
correct,0.0017752988784260125
correct,2.8720016636018913e-05
correct,0.004847970015488136
correct,6.347301896495906e-05
correct,0.00037336001395841135
correct,7.219049070546683e-05
correct,0.00015388831489998212
correct,5.135550824843932e-05
correct,0.001138683672740139
correct,0.0001699936180890307
correct,0.1078480059255019
correct,0.0035975065270720348
correct,0.0006811481538140714
correct,1.627199706561648e-05
correct,0.0003454361532364468
correct,0.0010929613740940976
correct,0.00046351614004963294
correct,0.005241362774901985
correct,0.00018751071298841424
correct,0.002303067923971615
correct,0.00024034245445422623
correct,0.00020782621836672912
correct,0.00036917878368725795
correct,4.1226106650432377e-05
correct,0.0005823425672633396
correct,0.0005371339969280723
correct,0.027101362554524625
correct,0.00015799781053502907
correct,0.022814234563463005
correct,0.00016752341310285486
correct,0.00020875146245590793
correct,0.0017104848800484356
correct,0.008366870730272796
correct,4.8916413156230674e-05
correct,2.632525553386678e-05
correct,6.762629732783536e-06
correct,0.0006468915836433375
correct,3.1810199124367604e-05
correct,0.000204038809690572
correct,0.006609580581756543
correct,3.8493470798403625e-05
correct,0.0005179175306047128
correct,0.008279485924682807
correct,0.0006094999606637182
correct,0.0033845658242514353
correct,0.00045966447075158407
correct,0.0005358039069276092
correct,0.010546972811223208
correct,0.0004825059257175651
correct,0.006888228896737899
correct,0.0041561077087070315
correct,0.011227692565174087
correct,0.00042235253026754935
correct,0.0009536085375919926
correct,0.00010171497227131853
correct,0.001245300884800438
correct,4.379457105536664e-06
correct,3.3470574238760136e-05
correct,0.0007040508826347744
correct,0.0017257146194940927
correct,0.000370192169042665
correct,6.353270801743109e-06
correct,0.00014953704999611566
correct,8.883581836582894e-06
correct,0.0013801127926046971
correct,0.011620666678736338
correct,0.00041739959125061687
correct,0.006298034659406367
correct,2.3296657456685534e-05
correct,0.005762411777773452
correct,0.024721535107663856
correct,0.0012171248010252216
correct,0.0006522880586515678
correct,0.0019161988222060242
correct,0.025011565621168
correct,0.08461321845459614
correct,0.049280351190767444
correct,0.0075335922855750475
correct,0.008569895568195771
correct,0.020315028191570172
correct,0.009974647791999698
correct,0.012505001973434014
correct,0.03709312650580146
correct,0.12554797056782813
correct,0.029627686913810212
correct,0.032773472555430574
correct,0.04134517863670447
correct,0.0038735769650580436
correct,0.00205960469060598
correct,0.003609080939863054
correct,0.013578466305604065
correct,0.003212547621763041
correct,0.008541376649825468
correct,0.029142917139980164
correct,0.016091303617422132
correct,0.009000420207719101
correct,0.025500160260655626
correct,0.011224990250604708
correct,0.00495989926531076
correct,0.020900523744175892
correct,0.0012249280513961373
correct,0.025794672429786406
correct,0.0015205941298379285
correct,0.0043948974755206845
correct,0.0026113019235510125
correct,0.008118285753978141
correct,0.009063988302795546
correct,0.02269098341306963
correct,0.03877755985605836
correct,0.0032490311156564452
correct,0.019339044983890177
correct,0.0037611469355800847
correct,0.017195938125020856
correct,0.0244604024485781
correct,0.01664794639093319
correct,0.02709250408362858
correct,0.0009454307766173942
correct,0.020032188486340974
correct,0.00909408639343557
correct,0.04393767249688823
correct,0.17546394256954653
correct,0.0023030610305679214
correct,0.058149307717683264
correct,0.05290802435307874
correct,0.016244707914173002
correct,0.01683896594238863
correct,0.008983087680852413
correct,0.018852197820369627
correct,0.001562753237470622
correct,0.007024798812096473
correct,0.0018510205088650132
correct,0.010956388063012986
correct,0.0005105381495271091
correct,0.006681846198918164
correct,0.008859491800769873
correct,0.002837182102400723
correct,0.01961451340322517
correct,0.006008855915426582
correct,0.003070522221256135
correct,0.03212659953469675
correct,0.0036038393046039655
correct,0.0026157149373166114
correct,0.055954452127022165
correct,0.004611292382323909
correct,0.03374795599835059
correct,0.0041300190654986425
correct,0.02637417373450607
correct,0.0038502223943626
correct,0.001451804188097793
correct,0.0248321016393731
correct,0.00628964907165955
correct,0.001479499357480566
correct,0.016984205522305958
correct,0.035894818800357234
correct,0.027468224774526113
